alpha_3,country,population2020,yearly_change,net_change,density,land_area,migrants,fertility_rate,med_age,urban,world_share,region
BSG,bgwcxfyvis,4918,4708,8887,5564,232,7457,5190,5887,3446,8393,8775
BSH,jsgrzqmizl,9755,5113,6509,6033,7506,6761,701,9026,5579,6536,8467
BSI,bfcyiarfzh,9027,3777,5999,3374,3594,1964,7890,1511,8284,6038,9743
BSJ,wqsmcwliic,9943,8081,6891,68,639,7543,6145,3833,1893,6079,8410
BSK,dybasbtyqq,5878,4861,4601,4074,6010,8158,1325,4081,1370,7164,9217
BSL,zqrgzroyvf,1686,1515,5047,6311,39,3307,5929,9263,819,8990,7209
BSM,tzkbjqcnrb,5640,2713,9019,3787,7732,8162,5362,9126,8448,6376,9010
BSN,kuxltqbuvt,460,1887,5101,3711,7708,6733,7919,7057,242,7701,1805
BSO,liwqnthajd,7766,7885,2948,7975,7224,314,3463,1789,8845,9138,2998
BSP,lxgsmcqsyn,4388,6111,9068,3381,9006,8415,1097,3284,4794,8025,2338
BSQ,scdnortwob,5255,8433,6745,5503,9777,1948,352,6451,9389,1402,2179
BSR,hqbydgwwdt,8665,6742,5445,7601,1204,1094,6720,7454,5552,4782,3630
BSS,wvqzhyrwwx,6443,8294,3496,4026,992,4127,4463,3579,759,3527,2214
BST,zycdjhdjri,9390,7071,2164,5459,4723,8471,1567,6886,2112,8359,3370
BSU,cuvdglbpcd,5961,2382,8573,6590,7310,8145,1954,7596,6196,925,7416
BSV,hmsrnvgcmh,593,2210,2912,5574,3428,7268,7209,2632,7458,8698,2949
BSW,rdqirymxmp,4327,3325,2727,725,7736,1556,2203,4849,4196,4433,2943
BSX,kmvyqsefdv,4644,9999,5660,1125,4612,5683,1342,4933,9837,9673,6614
BSY,qvgtelujmf,5160,2373,8639,2292,1979,3759,6925,4124,5739,5456,3696
BSZ,ibghmuzsbq,3465,2884,5442,9388,5359,8894,3292,466,9354,6280,498
BTA,eyaydvfite,1934,8102,7976,7589,5660,3938,9130,5869,445,7619,9267
BTB,weieolcmbp,4698,3603,9894,7836,6524,7460,3403,3391,3815,377,9227
BTC,vphtiojbja,6057,2314,9177,2827,270,9234,4899,9705,1350,7549,7907
BTD,qhyrntybqa,4823,6165,8597,1694,8636,2459,9074,4722,8625,4583,4932
BTE,wvckmrncjn,7365,7203,1577,992,487,3824,5618,2353,9738,5176,6797
BTF,mgmezgfsdk,1312,9223,6487,9475,3861,4032,1116,5512,3492,6333,4402
BTG,cgowurejfu,1447,5955,6637,8321,4271,7069,7365,8123,9713,8031,1260
BTH,itnetohgts,9536,5655,918,8374,7164,8029,5990,5649,5423,4471,8700
BTI,cfegdpndxk,8348,4423,1629,477,8578,5693,627,2172,8746,1475,8890
BTJ,yhzxmqlbdr,6743,2052,1407,6585,3929,2036,8404,5406,5458,3132,2286
BTK,hugsntbwmd,6609,215,3575,2362,7691,5473,469,9643,2749,7854,8081
BTL,vhtspuxfnl,9178,4353,3883,671,9725,3850,8012,6834,3246,9790,83
BTM,laawsbkvmy,9646,3317,1416,2222,4052,285,9121,3660,5349,4796,4394
BTN,tcwjvcnwpv,4581,3437,3024,805,8518,4991,6530,6725,1701,7346,3903
BTO,ylfcuzspfk,6153,2364,453,9492,8700,7825,3181,4206,3313,478,9731
BTP,lachttfacq,3738,9942,9479,5452,368,4609,3533,7699,1954,4687,6148
BTQ,xkvcpugtfr,5733,7726,6411,8055,2196,6053,1550,9590,6481,2499,2682
BTR,pkxsrvdroy,593,6740,1917,4182,4955,6918,6623,7957,1503,1077,8163
BTS,dvxshhofgl,1894,8655,6366,5071,1214,8154,6975,7337,8120,1350,5218
BTT,sinrfosllt,6407,4368,8633,1121,6958,9950,6814,2626,8417,8526,1465
BTU,wikstmdeyc,9933,5645,1804,3279,1590,5129,5110,5954,3411,5772,6445
BTV,cmrylbnasl,6337,5832,1818,9410,1338,9824,7038,897,2008,6392,7582
BTW,hwckjkgzbh,5103,5920,4238,6316,8149,6208,469,1699,7582,1703,8575
BTX,pdzqesxofp,5199,9935,4829,7521,8163,1156,7642,7298,6276,1576,7465
BTY,lplhjlqrwa,2719,7146,5886,8086,991,3921,9655,9571,5259,6022,6811
BTZ,ngiyonfodd,5163,3867,1017,3649,4123,8268,9394,8420,2634,4563,7383
BUA,sfmppjqxmr,262,7745,4188,3456,5669,983,7322,3884,5953,9357,5727
BUB,gwyumwvddq,1834,3725,2972,8528,2230,4199,3014,4026,413,3824,9352
BUC,sbsegugfro,2176,6520,1954,3726,1621,365,8594,8398,7201,4075,8195
BUD,iwgnnjujwb,1351,6422,9513,276,5489,107,4032,2870,6210,2232,1674
BUE,opatcaiqpb,9018,2742,2507,4654,9022,3666,6593,2819,7197,9297,1183
BUF,dvjkbgpnaq,8738,2243,8864,5555,4395,2188,7550,572,2612,3684,2142
BUG,thttylgcpe,8256,5029,5740,7828,7413,45,9063,6538,5524,1669,6767
BUH,ihzpardjrg,8321,851,5322,2857,22,3950,354,7246,1872,4799,333
BUI,mvgvuloqks,7296,4924,7355,8125,4068,857,7826,4438,9586,8480,3428
BUJ,ikaecuzjef,5385,1307,9341,9023,1614,4922,5810,7772,9123,1379,1302
BUK,jjpclkadsn,6288,877,1186,5673,9192,1929,3796,7560,8829,2464,672
BUL,uvhwdtdxai,367,1139,6609,1477,4771,2658,5426,4566,8372,3900,5139
BUM,kygnlfhnjb,7462,7861,6043,2499,8848,2414,4530,5098,3306,5565,7313
BUN,dxkwfvmqao,9994,7425,247,4070,5479,4471,407,7695,8218,5275,7405
BUO,qufuiqzyog,854,3182,3998,2929,8537,1362,1207,7171,7271,9532,5338
BUP,troptdspef,8727,9144,4081,4630,2323,8619,4724,2183,2971,4570,221
BUQ,vmmxwmgvlj,4734,1085,7641,9078,6346,3103,5776,918,9655,1249,1632
BUR,nseaptvrbp,8811,8687,6132,5916,7128,7378,8194,3922,3281,4366,9952
BUS,gyoartdhte,5277,857,8942,2438,8078,2261,2768,815,6193,1842,7682
BUT,ipphqvluye,4977,1940,121,8348,2726,556,7417,2631,5813,6995,3330
BUU,gkugllxsob,6973,6554,8577,5026,2994,8756,6889,3620,8642,3177,7566
BUV,khkryzpvnv,7617,9318,5495,7175,4879,6184,2490,4242,4800,9339,6970
BUW,dcfoykklqf,3390,2058,5843,8778,2145,4707,6894,1981,8543,4919,4160
BUX,pawijdwsxb,3477,736,5832,278,7630,1329,2734,5400,1640,3633,3355
BUY,xggiwybirt,2016,9302,1215,9934,3727,8431,7077,3831,7793,8422,1911
BUZ,siwdluvnhz,1401,4314,3806,2982,5650,8513,737,153,6981,9602,4914
BVA,buxuujebip,1940,3478,1700,2408,8971,1879,7322,3157,4022,2905,9806
BVB,anetcujoqv,9746,961,7481,1512,2549,7958,1294,9303,7317,5395,8835
BVC,koxwqclhjs,5429,3339,9746,543,4012,6680,6581,9833,8944,8496,3237
BVD,bgkhefbhph,5856,5314,7239,2012,6872,635,6668,193,981,4221,8512
BVE,anzgomvrzl,1619,1627,3943,4541,4020,8746,1529,1833,2576,2806,5305
BVF,tnkwdpkkrm,7840,3625,4705,6766,1739,1364,6130,911,241,3028,8451
BVG,gwhuvxhbyt,5410,2238,8994,9620,9584,2203,4411,9096,2406,782,1387
BVH,lcsdxfhkei,6831,1738,7751,3063,6541,4958,6939,6472,4006,6507,6946
BVI,czuvbqchds,551,1137,2549,8845,7594,6659,7839,2615,8223,7046,6600
BVJ,dyoecompsk,5358,2542,9659,2098,3107,4104,3539,6047,6488,9490,58
BVK,garcekdafk,8769,4227,4192,6296,885,5302,2857,2622,7740,8600,8028
BVL,ieridombbs,3423,2654,2079,1628,2230,6057,1692,7993,292,579,1438
BVM,moeharvsay,1944,7467,3926,4486,7009,9393,6152,6520,3798,325,4729
BVN,vmefarkzkf,1531,4348,8693,2296,4489,7086,2303,6374,9169,7292,9146
BVO,xwsotmlrcf,9580,152,3919,5508,9130,4367,7532,6561,9053,2541,8610
BVP,tikpiwsvzc,3246,9712,8323,2442,3985,1889,59,8946,4125,7015,9733
BVQ,alvogwdjjh,3093,155,6789,8059,4509,6118,6753,9752,7264,4062,7225
BVR,cizmgiwagk,1079,1054,9660,1024,2184,1933,5097,5244,969,2045,5743
BVS,qchugbhaac,8418,8523,2275,8644,2354,5182,6780,739,8490,6602,3018
BVT,gjewrzmlnl,2854,4719,7254,782,2333,6654,5018,9206,5444,8049,337
BVU,jftzzfrdws,8253,3763,5341,5719,9500,6285,3089,8670,3031,6202,4986
BVV,ikjikbryby,2157,9344,8713,4711,6885,8905,3996,4301,7579,9850,4804
BVW,ernotokmfs,5930,5809,1319,1433,7168,2397,3674,2453,5419,8328,2740
BVX,blbxpfjikn,1846,5817,8920,1828,5761,4876,4153,9219,8055,6054,5445
BVY,adwsaiquep,1518,766,8234,7404,6865,4790,6738,6956,4857,1569,5544
BVZ,ewiyvuhofn,8786,3350,4566,4815,7813,321,4799,2215,7165,8915,6630
BWA,rkqvhnxcaz,7860,4912,1209,1567,7857,5767,6065,3956,9438,543,5509
BWB,prhnbiopkb,5267,9796,124,1025,9009,8767,9628,525,5091,2621,4098
BWC,jieibwkppv,5701,8312,2698,9161,3413,9329,5675,8478,6919,5363,4743
BWD,xgnhsypctw,1628,9627,2714,7067,1918,591,7895,3276,4006,9728,5878
BWE,ixiaaeeqsr,1241,8452,8735,8756,8740,1853,6513,5824,4393,5475,3407
BWF,lhmmxbdlbs,4693,1966,9307,9564,3310,3886,6477,9396,7500,8805,715
BWG,kaaadvgfhc,773,4967,4518,1866,7113,5120,8970,5920,2197,5737,3669
BWH,xlcqrqszrl,5239,7667,5101,7157,2737,6453,2851,4762,7624,9996,8741
BWI,pnxieqtbdw,4244,6787,9924,567,6871,6930,1684,2051,9136,327,4642
BWJ,vzuxzbehyy,3751,616,1161,4754,9392,4732,6794,3580,1957,8584,5765
BWK,joqyrwygiu,8787,5020,4793,7870,1140,4213,2776,1611,9917,530,3053
BWL,imyigmopxx,1293,6160,5452,4236,5503,2013,2580,3269,8031,1762,4073
BWM,ervviyfzob,5728,6758,2524,1918,7457,5186,6077,5934,8868,9279,4474
BWN,rsawwijsmc,6080,6189,6866,8446,1193,466,9929,1492,6263,3649,4939
BWO,bntedyzwny,7133,2838,1454,7526,9803,8699,4114,4141,8101,9840,6818
BWP,ndjxwhtmns,3862,565,3638,6901,1797,2589,4332,5482,7025,2076,3985
BWQ,pzhicqzwfp,7007,7162,8077,7951,2785,9182,6471,3996,960,2866,389
BWR,ppkdbfnnbs,362,1666,1544,1221,7324,2160,7389,2337,679,1804,7907
BWS,smaeadbsjd,603,2996,5185,6299,9092,5869,6962,8703,4853,1341,4692
BWT,vxhihndpja,8905,6578,8950,8933,6942,4043,4794,6239,3648,6813,7686
BWU,leladwbshe,4108,5519,1752,8172,5150,4557,7270,7233,8772,362,6843
BWV,glmocfodci,1795,1427,4763,2790,2130,9421,5291,9197,3906,9654,7006
BWW,zluwgfmchw,1711,6540,4346,9578,6938,2335,1559,9129,3181,8638,6258
BWX,czilwqzbzi,6899,8038,2108,415,6972,4986,5596,8427,7599,5086,2887
BWY,drpjkemhtw,1105,1405,9991,5843,8186,4285,1159,1623,4206,3000,2648
BWZ,ghsdrwigyu,5424,5443,4303,3412,8986,2445,6671,3802,388,1824,6865
BXA,heqnmhpwyh,3082,3830,2098,70,3028,6896,7216,3749,6426,1050,3058
BXB,xunzefcdad,1054,2488,3570,7896,1286,6673,6033,9536,803,2027,2563
BXC,yhlbnwjuds,1000,2170,7903,7816,4027,8246,7949,3462,9307,9408,8421
BXD,lojehinypp,7085,9658,4711,3884,3842,8863,8794,2127,3187,9421,6233
BXE,dyhmrcftnw,2983,1976,4441,1745,4613,3935,694,7388,6698,1612,3428
BXF,qidlykxzci,6050,7432,8424,9250,3982,9672,6288,7142,3905,1393,9946
BXG,tlgzauotug,1717,7695,7538,3345,2229,1979,616,9010,9211,5547,3872
BXH,yepnkyadux,7260,1546,3343,507,9773,4185,4897,4314,6220,5885,9301
BXI,ocqdailpwa,1497,9586,5434,9989,3301,3715,9644,8315,6499,3217,30
BXJ,yajpuftnwq,3090,7647,6174,5797,9998,2914,4871,2240,9338,6645,5056
BXK,qlrldsheza,7964,6255,8075,9811,2110,2399,2487,1617,8710,4127,8689
BXL,iksvsiunle,511,8118,8729,8353,6606,8358,8678,7436,5898,7479,789
BXM,zresdirzvx,8356,7599,4876,2647,314,4270,2334,3753,1423,1906,7736
BXN,ccltwdchul,9075,2665,1671,4176,8652,908,2680,9052,4010,3681,5388
BXO,pqssbttidp,3358,9832,9813,4308,8670,9223,6593,2116,5397,3604,5335
BXP,ttorooegly,1936,2018,9453,59,2182,3903,303,7079,3998,516,3832
BXQ,ljgbtkhtjk,1808,4721,6599,1153,3714,7348,8882,5591,1690,3899,1572
BXR,iihiwzpcmv,2997,1464,3205,3945,635,5025,3155,970,4476,6435,8721
BXS,neydsrpcbq,7547,5066,4569,9762,1880,9601,4610,8681,5805,8181,7550
BXT,lrznciwldx,766,1664,8855,5874,9465,7399,6937,5534,6825,3565,2671
BXU,vdbqzhsrub,6355,2990,3600,1404,6436,2592,3228,9418,4683,959,2127
BXV,nfuswxpyle,4169,333,7721,4428,9941,6342,2395,5454,6818,6153,1351
BXW,vcoswnmzlx,5363,6022,5007,1130,2106,9904,5646,2315,2872,2606,8281
BXX,ylnywxktpf,4032,9173,9221,6902,996,9481,2234,6873,4807,7531,1863
BXY,tlczhtztbj,3485,5556,4613,6440,5657,7452,8032,2746,4083,3221,6914
BXZ,rttghampgd,1426,2741,2534,9746,8614,7308,9336,6935,7858,402,8596
BYA,thuoyddhri,3985,6129,6001,5609,1811,3601,8717,2040,1100,5636,8547
BYB,wppynuruaz,4687,6135,9041,706,211,9276,8101,3693,852,4831,4952
BYC,szkslbolhe,5453,7962,1908,4735,1248,6641,5908,5913,6928,9103,5838
BYD,zoceqzkysl,9787,9966,7323,4624,5249,803,5225,8869,2993,2465,9903
BYE,alceonlsgy,1118,778,5675,6942,8352,7410,9459,1263,7919,1987,8624
BYF,xlntntqmwx,1805,6445,4575,4823,9614,8000,6207,6998,5781,8311,4471
BYG,xwgiepoadt,1807,7899,7028,141,9390,8305,2482,2677,6277,7952,6062
BYH,gmehfepwyy,7641,8774,2756,5320,8118,5583,9641,2671,8995,6093,5956
BYI,leheatpabn,8535,4574,7326,1067,9481,2151,1704,4995,2795,9925,4113
BYJ,izuihiober,2253,5640,7453,5264,4924,3368,6617,3845,6333,9178,6583
BYK,aufvdbwqso,3816,779,2111,7548,8534,8175,1628,8848,4880,4155,1074
BYL,nkapcvaakg,1597,2142,5338,8745,3554,5737,2312,9328,3074,3302,8200
BYM,kvxngbbmcm,5588,1363,4270,6435,8532,9666,325,6445,2396,7035,4019
BYN,wvqjvacyjn,9927,8188,1208,8076,8015,5475,2896,2341,278,2022,275
BYO,awkdhvjwpn,555,7612,6160,8426,7703,9957,356,2109,7018,5910,8840
BYP,kkrvgivndu,9121,8300,792,6081,5851,3346,7108,2286,5373,4038,4251
BYQ,jigcbljssi,6790,1327,6462,2441,6164,2942,1576,2321,6470,4476,9944
BYR,ngiyaewjjz,4708,6183,2955,7017,7679,7034,778,7144,3561,4843,6498
BYS,ylltdqvmup,6163,1060,5332,8074,521,8378,3493,9277,1092,2423,1977
BYT,jeinoyrxcl,8893,4108,1644,1899,2888,2192,7605,2159,4972,8322,9387
BYU,ktndxlprsv,4592,9866,3940,5999,7908,7332,3326,431,3303,6354,9878
BYV,mjqaiilain,7894,8455,7347,1621,5470,2670,512,3996,3068,8028,9127
BYW,nchgwordce,7633,9425,4301,1583,7448,8162,7152,6107,4057,2707,4268
BYX,hmwukgphtt,2779,9678,5821,2672,7277,7014,3588,4724,6030,3501,4580
BYY,nnzpjcgmas,1373,7493,1353,5632,9221,6424,455,3134,9462,6541,5859
BYZ,lshhabbvzc,4153,5323,3881,9403,9878,9628,6814,360,3864,4276,4963
BZA,reaxstlypl,2697,7360,9466,7479,7043,75,9572,7879,815,1979,6740
BZB,sxliqthvck,1356,7386,8003,801,3552,5755,7988,2887,7007,7682,9053
BZC,yrsxzpbgoo,9803,3353,8702,2570,1625,1631,190,7358,2025,209,4702
BZD,snbobvehms,6054,6223,3298,9088,3075,6886,7614,1223,784,4433,9159
BZE,aemsdcabev,7161,7087,4967,5263,7912,7261,74,9703,4841,9167,3483
BZF,qeeuywtzyp,2613,9546,8853,5249,3939,1569,7447,7832,3994,7480,8488
BZG,dvendrdnnt,9585,127,3727,2704,4479,9401,7303,8409,3253,8281,7682
BZH,tsfuwnhbfx,6403,5451,8907,6352,8760,4658,3668,7535,4106,4244,5957
BZI,zgqfovfcfs,9446,2643,7129,4385,2485,8065,622,3441,5811,7776,1928
BZJ,snqxslpfqx,7000,7329,8587,6928,8493,1531,3208,1642,3280,3453,4289
BZK,uhuoxvdxvd,5311,7321,4750,6083,1621,2171,6505,4625,8822,4226,5941
BZL,tyejujnnvu,101,2132,8333,8275,6454,758,546,1334,1750,7974,3965
BZM,tylutipvlj,9736,5012,2713,1620,1345,7170,6828,3211,8823,7173,8067
BZN,febsbwgxmq,7069,2774,8340,5973,5283,501,4451,4500,7309,3236,824
BZO,swmguvjkmu,4141,2364,9379,988,9301,3710,3784,2844,4285,9970,5271
BZP,auxqrsjpln,2998,7173,73,8955,8714,2004,7941,189,1812,9975,5987
BZQ,frawezdccy,4507,8695,101,4120,7535,3237,4432,9266,3924,2289,1309
BZR,fchvwlblvg,671,9966,8759,3056,9867,546,2797,4430,4185,5656,5595
BZS,tqdujjftoe,5310,9432,3901,9773,2146,2804,2376,8528,1966,7849,1130
BZT,sdorkiernk,6707,3272,240,8367,3393,6252,3562,7132,8556,9030,2909
BZU,kwiwkvgkct,8074,1244,1544,1450,9554,8645,1059,7016,8602,6003,3881
BZV,aanivtbeft,9631,1123,5535,2517,6187,498,6704,892,8884,2399,9845
BZW,qrzbofgmvf,8150,4501,1079,6577,3323,4653,2950,7868,3186,7841,363
BZX,cswfxmoevp,2249,5060,1812,3567,2003,6302,2367,113,5019,8920,2264
BZY,suypmywhbe,2047,2703,6362,9436,5213,7437,7517,319,9320,1421,5183
BZZ,qzndlhitqc,5819,8803,488,1715,1784,7729,2522,3105,741,497,2778
CAA,jfaoukazcr,9565,4136,3002,7914,2289,3812,6113,9993,170,2602,9592
CAB,jcothtgfvw,5909,2345,9600,1540,1954,3079,4738,6406,2179,6805,6211
CAC,wuejcyibww,8559,6249,5473,4678,376,802,6407,4099,681,9589,8596
CAD,mhruzedpmt,2882,5665,9983,247,7148,9292,7065,1682,3801,7088,969
CAE,wpnbjyckqq,2489,7691,7889,3134,9367,1877,4138,1854,9269,2575,8019
CAF,kuiaoqoneq,1879,4836,1993,4015,3107,4277,2122,6514,2466,9510,6858
CAG,yodtfuqmdt,2946,604,8035,9343,9718,3269,9265,6708,1274,9455,1279
CAH,fqeuqecnzb,3854,5492,7579,4343,2849,4700,8805,9001,5577,7477,9890
CAI,sllsaupgcg,2885,826,4501,3227,3292,6622,2755,4084,7499,2742,2794
CAJ,zfdvohugbu,6956,549,2539,4474,7189,2996,3666,403,2363,201,5477
CAK,ymduvoxsty,5708,3769,2280,7078,9086,6797,4782,6911,5098,8775,2320
CAL,ktlfvuxfli,9058,1813,3448,6201,5129,5362,4298,787,4724,2426,1668
CAM,irghyxugyc,1318,6006,7977,3515,3552,1132,7286,8439,4730,2988,5579
CAN,znvnxhclwg,4092,5062,3795,841,8249,1042,2733,8111,7420,8357,152
CAO,xxxwcxmaxr,8489,2192,69,5446,2113,6007,6687,7217,16,9860,697
CAP,onlyzwovkd,3739,5366,6131,8761,825,70,473,6520,8231,6832,7407
CAQ,tsbuqtqpqg,6206,6894,6467,7010,2919,5216,9525,9821,4899,9588,8033
CAR,jfrkcdvkvu,1375,11,4656,2971,6064,9506,181,1790,9154,6196,8864
CAS,gjxfuvpptn,2258,3487,4908,6799,6939,5234,2838,3641,719,204,9112
CAT,dyavwuadrr,8630,8978,9066,3514,6827,381,7961,2651,2832,6223,9933
CAU,iinrjvtmpj,111,4326,3169,8024,286,8553,6259,2534,5936,9249,5198
CAV,qedjcfudnx,900,7603,1733,9961,682,3441,5162,7431,3998,6261,3246
CAW,cffkjlyjoi,6467,4329,7456,9984,9951,845,9973,3498,725,9645,865
CAX,zwdqhesbuv,5054,8009,9012,1653,8158,6809,1163,1388,5695,3228,6812
CAY,pmscsstxbf,319,1918,7034,165,4021,8979,572,7563,7141,2188,7835
CAZ,roridfymeo,5742,5032,4846,2302,6841,4075,5699,6858,8555,3360,1659
CBA,ncedynllmc,3076,6874,9708,6784,2332,1814,9094,580,998,7073,8487
CBB,gxiszstijx,7967,1488,346,1139,8569,659,9255,7460,8529,7889,6366
CBC,moobtasctx,1984,4509,834,8652,1802,8046,4452,8819,2741,8317,1300
CBD,iesoosomyk,5062,4001,4489,5283,605,1507,9950,1919,3296,7185,9722
CBE,yitngzbccm,5210,2456,3702,577,9921,1252,6720,6591,4876,3003,2306
CBF,phsdxxuoim,6501,2026,727,8201,7578,7107,7776,5585,6919,2473,3076
CBG,edvkzosqsg,4278,8920,7641,3764,5067,1316,8444,6502,3927,6810,5556
CBH,eelqrdvxsk,3859,1571,4258,4133,3395,8995,796,8065,7018,6292,735
CBI,lnycdghzcv,1147,2841,62,459,3753,1286,2195,7073,8960,5019,9770
CBJ,fvcjxgmwfp,9583,6271,831,9158,541,4109,7982,2282,2531,4639,7694
CBK,bmouzvkfem,7257,6341,4189,3294,8083,638,8913,670,5993,5628,4775
CBL,svdqybqacg,881,3207,3740,6375,5046,8082,2592,6378,2209,3677,5458
CBM,onvbhihdme,87,2339,8470,5710,5358,306,7595,6200,3331,683,1472
CBN,vfjdmcmtaq,8546,3657,3070,1894,6415,7894,8051,864,9568,9292,5662
CBO,jdwsoftsml,7537,6382,2310,7553,9688,7914,1584,1715,9493,9835,3780
CBP,werebnmdgq,9748,2285,6754,7946,2786,982,893,52,4835,69,8912
CBQ,ciuhisaswm,5247,2397,2886,7024,5178,7666,7248,1565,5424,3726,1281
CBR,nqjivioeqq,4393,5116,3826,8875,4844,2994,8239,6003,3902,9305,5935
CBS,ntqnuzbeoh,6180,686,7054,7796,4752,7181,481,1966,9381,2772,3516
CBT,looxgjyrvi,4219,5708,4044,8548,3483,6224,8490,5987,782,393,233
CBU,ppwiobmbvo,6275,4702,5077,7717,1020,2144,1790,5320,6339,2137,7904
CBV,fxhahwqshx,6362,7168,718,6883,2929,3219,9375,6369,7761,2541,6057
CBW,ftbgioqvht,2071,9528,5960,3968,315,8212,7955,5678,6144,6684,4416
CBX,uknptzzgdw,3723,2541,3735,9709,1702,5452,1756,4837,4430,4746,7683
CBY,ppjhjsrhey,5957,9459,5127,1453,4957,4892,3732,7238,4222,4487,3422
CBZ,qbljjogfrw,4983,3399,2562,9549,3175,5208,1280,385,4711,7062,7093
CCA,naxbhrpezp,949,2622,7035,1814,754,5039,4491,6033,5517,9089,8774
CCB,poupxjuwih,7583,8925,4096,2690,7631,2771,5397,3701,3281,6900,2116
CCC,khdnqeqias,7922,5504,1155,317,3166,3397,2356,8985,2656,1066,5226
CCD,yjswvpktio,5166,6879,1551,8524,8859,1714,8315,7575,4641,8102,8892
CCE,pegywsuzal,6797,1238,3764,3453,2989,3451,3818,3864,166,2155,9877
CCF,tjmqmyoyka,120,9947,6648,1790,8003,8375,8447,2766,6767,9639,9638
CCG,btxxmblsud,2056,4559,4750,5303,6737,5264,8637,8060,9880,8403,3010
CCH,kqynsdcdvd,264,4874,8453,3768,1861,9953,1854,335,3684,4623,9581
CCI,ggxzzurxmk,1065,3790,8394,8544,5701,5703,8855,2294,1882,9919,3997
CCJ,akgjzddenp,1783,9360,1598,6780,8679,4771,6391,3684,1722,9241,1696
CCK,kckzqgkpop,2352,4878,2856,5432,9890,4832,6721,4088,7535,8772,8224
CCL,fszwlqkncl,698,4735,8806,7529,2568,6623,3958,551,9835,8952,5759
CCM,absknfrcrl,4720,8540,1998,8145,2461,552,2919,2150,1493,9763,7764
CCN,ogrxolfjla,9787,3452,4734,9322,6108,7213,4931,4372,7016,6543,3425
CCO,sxrswkwwgl,6540,7672,111,9551,7587,9246,5713,6124,3866,8836,5680
CCP,lajwkzcbij,1474,9037,9349,7840,7541,7167,6632,8275,2481,3379,273
CCQ,poyangrhnq,7265,9218,4986,8557,6676,6623,3589,9457,2785,4298,3314
CCR,utamvritjd,741,1298,8668,8105,4088,8752,1745,3254,7519,2933,8932
CCS,ibchvumtey,7309,1002,2388,9075,836,704,3764,2513,5614,9343,7844
CCT,cglmworxky,7823,1901,5671,5323,6001,6378,9666,6395,7805,8672,8162
CCU,euugklsgio,5048,7483,4392,45,26,147,2895,9987,3462,6200,5466
CCV,fnqrrylund,6679,2460,5082,5480,4813,3633,5790,2795,1465,6333,4732
CCW,mvvempuvlk,6266,5872,8114,9269,7665,1372,5926,2180,5830,7351,9198
CCX,rorrfpnsrh,350,3030,656,3468,767,3196,3531,5279,2626,1359,1438
CCY,ctlodgxvjc,4227,7988,2757,8097,9248,4089,5242,1364,3434,776,6828
CCZ,bpgodkxutp,6982,5531,930,3016,3857,9536,8344,1204,1051,3080,2223
CDA,uepgeznpin,6927,1348,3515,4838,1609,6128,8918,8559,140,9825,1808
CDB,fqfrldebgd,4607,3214,6584,8165,9030,1485,6977,7636,2326,1897,6332
CDC,irqyxglpue,7074,125,2761,3341,5228,2236,5484,6173,4610,8412,3248
CDD,aohjrcjisj,4948,7153,3818,3803,8457,6495,2011,496,5513,6609,7674
CDE,biafljtesy,1762,3820,4109,382,5893,5440,7963,1418,1783,4413,9066
CDF,yzkediqtjm,5530,9625,4880,7262,3482,216,6486,4659,6310,4522,9530
CDG,btxaaqsdyo,6511,4714,4096,2955,6294,7228,2947,9768,9863,5139,2655
CDH,agwwjtxisk,694,7144,6943,7330,147,2397,7199,708,3992,5862,3970
CDI,yyotqvepmt,7727,7008,2407,8089,4073,9446,1880,6791,5300,2855,3858
CDJ,cmawahuvuj,3805,2362,1536,9049,8882,7171,9389,6005,2499,3340,6709
CDK,jfnntegdnu,6697,2133,4448,7901,8433,185,4975,2550,5501,9863,9603
CDL,epiphazspz,8754,1369,7263,2973,462,4098,4283,3014,888,1368,9578
CDM,rdgktwzawf,3086,7509,5997,5116,3443,1413,1009,9847,3710,4387,3724
CDN,sacswdfmkp,3003,885,3258,4695,3737,965,7153,9639,6912,7441,7463
CDO,zoardequkp,8670,2470,2023,665,2403,2600,4299,1210,8491,3383,1538
CDP,xllpsnxzuo,3631,9778,6998,1363,6921,8431,2508,4930,6780,3793,2954
CDQ,moulhljkug,4770,2654,1138,9028,8436,2404,2315,7448,6688,3507,3904
CDR,mgwudxzvhx,8953,2660,5069,6164,5589,4640,7996,3982,8490,8734,8020
CDS,tcvwywvllc,696,8198,8153,3501,9939,4157,3091,8985,6519,3020,6287
CDT,injemfigmp,7720,9712,6314,9213,1623,4067,9807,1896,4100,3750,9780
CDU,dptrnznzwk,3216,104,4160,6693,3302,6318,3489,852,923,48,1471
CDV,pkrylprgny,1785,3514,3395,6280,3487,8460,5055,7077,136,5831,5330
CDW,tokacpglkp,4829,1900,7682,3743,122,7580,6691,9101,8115,3133,5778
CDX,enypbnvczf,8202,3068,1258,2660,239,2714,6162,5274,5866,2807,9248
CDY,stkqhfnbjd,1135,2666,3413,4171,7379,8022,15,6317,6336,9936,6163
CDZ,oazacfkuzt,1250,8804,4669,8274,9384,5472,1805,487,8973,1798,8660
CEA,mzsnmqanjj,5684,3824,7647,3511,4581,4187,9396,485,3667,6833,2889
CEB,mcbcgigqdg,8949,2842,478,2694,6287,7603,5720,8751,6189,1710,6124
CEC,thquzbgoup,910,3105,9344,2744,2819,9116,9125,9984,6918,697,9640
